<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	09:00:00	1309.81	1310.17	1309.32	1309.48	1660	703563	36
2018.01.02	09:15:00	1309.47	1309.61	1308.79	1309.20	1662	638857	36
2018.01.02	09:30:00	1309.25	1309.62	1308.62	1309.26	1640	619491	36
2018.01.02	09:45:00	1309.26	1309.38	1308.87	1309.28	1224	576546	36
2018.01.02	10:00:00	1309.28	1309.40	1308.40	1308.96	1906	880787	36
2018.01.02	10:15:00	1308.96	1309.50	1308.91	1309.48	1628	696900	36
2018.01.02	10:30:00	1309.48	1310.73	1309.44	1310.31	2176	904566	36
2018.01.02	10:45:00	1310.31	1310.50	1309.86	1310.12	1369	552770	36
2018.01.02	11:00:00	1310.10	1310.67	1309.88	1310.49	1353	605768	36
2018.01.02	11:15:00	1310.50	1310.79	1309.99	1310.33	1296	497398	36
2018.01.02	11:30:00	1310.33	1311.31	1310.33	1311.11	1745	773659	36
2018.01.02	11:45:00	1311.11	1312.21	1311.11	1312.14	1956	860560	36
2018.01.02	12:00:00	1312.08	1312.21	1310.28	1310.36	2122	789371	36
2018.01.02	12:15:00	1310.36	1311.02	1310.03	1310.90	1347	598592	36
2018.01.02	12:30:00	1310.90	1312.74	1310.88	1312.16	2213	968769	36
2018.01.02	12:45:00	1312.16	1312.36	1311.56	1311.74	1347	606934	36
2018.01.02	13:00:00	1311.74	1312.15	1311.35	1312.05	1027	430753	36
2018.01.02	13:15:00	1312.05	1312.05	1311.24	1311.35	1108	455720	36
2018.01.02	13:30:00	1311.35	1311.62	1310.57	1310.67	825	324272	36
2018.01.02	13:45:00	1310.68	1310.69	1310.04	1310.06	1431	472630	36
2018.01.02	14:00:00	1310.07	1311.90	1309.97	1311.77	1686	816625	36
2018.01.02	14:15:00	1311.77	1311.78	1311.18	1311.51	1283	609093	36
2018.01.02	14:30:00	1311.51	1311.89	1311.30	1311.70	1038	497445	37
2018.01.02	14:45:00	1311.65	1312.49	1311.51	1311.96	1730	784562	36
2018.01.02	15:00:00	1311.98	1312.79	1311.79	1311.99	1686	683704	36
2018.01.02	15:15:00	1311.99	1313.20	1311.99	1312.94	2268	1042697	36
2018.01.02	15:30:00	1312.94	1313.96	1312.94	1313.63	2497	1008416	36
2018.01.02	15:45:00	1313.63	1314.26	1312.90	1313.81	2258	870611	36
2018.01.02	16:00:00	1313.81	1314.23	1313.39	1313.51	2387	989931	36
2018.01.02	16:15:00	1313.51	1313.71	1313.06	1313.09	1998	682333	36
2018.01.02	16:30:00	1313.06	1314.42	1312.35	1313.15	4066	1598166	36
2018.01.02	16:45:00	1313.15	1313.36	1312.12	1312.54	3356	1317780	36
2018.01.02	17:00:00	1312.56	1313.17	1310.71	1313.04	3628	1352774	36
2018.01.02	17:15:00	1313.04	1313.46	1311.70	1312.13	2938	1076234	36
2018.01.02	17:30:00	1312.16	1312.82	1311.97	1312.20	2649	880240	36
2018.01.02	17:45:00	1312.21	1312.64	1311.83	1312.12	2548	940280	36
2018.01.02	18:00:00	1312.12	1313.50	1312.08	1312.88	2674	996060	36
2018.01.02	18:15:00	1312.87	1313.05	1312.23	1312.49	2480	1057399	36
2018.01.02	18:30:00	1312.48	1312.58	1311.98	1312.23	2019	757280	36
2018.01.02	18:45:00	1312.28	1312.56	1311.16	1311.16	2222	920254	36
2018.01.02	19:00:00	1311.08	1311.86	1311.08	1311.55	1553	697363	36
2018.01.02	19:15:00	1311.54	1311.91	1311.09	1311.50	1664	531900	36
2018.01.02	19:30:00	1311.45	1311.72	1311.23	1311.63	1425	428900	36
2018.01.02	19:45:00	1311.63	1312.32	1311.61	1312.32	1528	455800	36
2018.01.02	20:00:00	1312.29	1313.30	1312.26	1313.17	1578	684259	36
2018.01.02	20:15:00	1313.17	1314.48	1312.78	1314.46	1722	580989	36
2018.01.02	20:30:00	1314.45	1314.46	1313.71	1314.17	1307	400601	36
2018.01.02	20:45:00	1314.15	1314.71	1313.77	1314.41	1254	428345	36
2018.01.02	21:00:00	1314.42	1315.04	1314.34	1314.88	1171	445709	36
2018.01.02	21:15:00	1314.88	1315.07	1314.44	1315.06	864	303265	36
2018.01.02	21:30:00	1315.07	1315.40	1314.90	1315.14	978	402055	36
2018.01.02	21:45:00	1315.14	1316.07	1315.14	1315.82	1346	583308	36
2018.01.02	22:00:00	1315.82	1316.69	1315.58	1316.35	1395	543168	36
2018.01.02	22:15:00	1316.35	1316.48	1316.06	1316.48	815	290716	36
2018.01.02	22:30:00	1316.47	1318.20	1316.46	1317.90	1607	691388	36
2018.01.02	22:45:00	1317.90	1318.33	1317.60	1318.12	1860	802120	36
2018.01.02	23:00:00	1318.11	1318.80	1317.48	1317.92	1109	407923	36
2018.01.02	23:15:00	1317.93	1318.03	1317.25	1317.57	439	199094	34
2018.01.02	23:30:00	1317.57	1317.94	1317.46	1317.92	337	136570	37
2018.01.02	23:45:00	1317.91	1318.14	1317.72	1317.82	358	8700	29
2018.01.03	01:00:00	1317.27	1318.27	1317.27	1318.27	428	125298	36
2018.01.03	01:15:00	1318.26	1318.82	1318.05	1318.50	800	249544	37
2018.01.03	01:30:00	1318.49	1321.24	1318.40	1320.68	1562	533688	36
2018.01.03	01:45:00	1320.68	1320.72	1319.80	1320.15	828	356582	36
2018.01.03	02:00:00	1320.18	1320.87	1320.06	1320.76	875	348679	36
2018.01.03	02:15:00	1320.86	1321.12	1320.49	1320.56	777	339783	36
2018.01.03	02:30:00	1320.56	1321.07	1320.17	1320.98	1153	443820	36
2018.01.03	02:45:00	1321.00	1321.10	1320.47	1320.47	727	326300	36
2018.01.03	03:00:00	1320.47	1320.49	1318.57	1320.26	2017	715702	36
2018.01.03	03:15:00	1320.27	1320.50	1319.45	1319.53	1050	290868	36
2018.01.03	03:30:00	1319.54	1319.58	1316.80	1317.71	2114	529680	36
2018.01.03	03:45:00	1317.71	1318.14	1317.05	1318.12	1551	363090	36
2018.01.03	04:00:00	1318.13	1318.26	1316.68	1316.69	1250	369282	36
2018.01.03	04:15:00	1316.69	1317.13	1315.45	1315.82	1810	459765	36
2018.01.03	04:30:00	1315.81	1315.86	1312.58	1312.91	2304	685495	36
2018.01.03	04:45:00	1312.92	1314.18	1311.82	1312.11	2051	744224	36
2018.01.03	05:00:00	1312.23	1312.82	1311.78	1312.03	1617	641585	36
2018.01.03	05:15:00	1312.02	1313.09	1311.91	1312.50	1027	384687	37
2018.01.03	05:30:00	1312.50	1313.98	1312.49	1313.75	1144	386028	36
2018.01.03	05:45:00	1313.76	1314.57	1313.75	1313.98	1194	393874	36
2018.01.03	06:00:00	1313.96	1313.97	1312.17	1313.30	1124	379659	36
2018.01.03	06:15:00	1313.30	1313.79	1313.08	1313.56	555	229438	38
